OpenDocument text,50 4B 03 04,ODT,Word processing suite,0,(null)
OpenDocument text template,50 4B 03 04,OTT,Word processing suite,0,(null)
OpenDocument spreadsheet,50 4B 03 04,ODS,Spreadsheet,0,(null)
OpenDocument spreadsheet template,50 4B 03 04,OTS,Spreadsheet,0,(null)
OpenDocument presentation,50 4B 03 04,ODP,Presentation,0,(null)
OpenDocument presentation template,50 4B 03 04,OTP,Presentation,0,(null)
Microsoft Word document,D0 CF 11 E0 A1 B1 1A E1,DOC|DOT,Word processing suite,0,(null)
Microsoft Excel spreadsheet,D0 CF 11 E0 A1 B1 1A E1,XLS|XLA,Spreadsheet,0,(null)
Microsoft PowerPoint presentation,D0 CF 11 E0 A1 B1 1A E1,PPT|PPS,Presentation,0,(null)
High Efficiency Image Container (HEIC) - any ftyp box size,66 74 79 70 68 65 69 63,HEIC,Multimedia,4,(null)
